11:14:54.658 [main] INFO  HelloWorld - Hello, World!
11:14:54.662 [main] DEBUG HelloWorld - Debug
11:14:54.662 [main] WARN  HelloWorld - Warn
11:35:29.323 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.560 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
11:39:07.568 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
11:39:07.569 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:49:12,337 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:49:12,338 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:50:47,642 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 15:50:47,654 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 15:50:47,657 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 15:50:47,659 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 15:51:07,828 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:51:07,838 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:51:07,842 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:51:42,951 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:51:42,958 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 15:51:42,958 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:51:52,808 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:51:52,826 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 15:51:52,827 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:52:48,058 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:52:48,066 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 15:52:48,067 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:53:07,994 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:53:08,000 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 15:53:08,001 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:53:50,047 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:53:50,053 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:53:50,054 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:54:19,901 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:54:19,908 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:54:19,909 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:55:03,852 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 15:55:03,856 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 15:55:03,860 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 15:55:03,861 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 15:55:03,863 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:55:03,864 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:55:03,865 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:55:03,867 [main] INFO  HelloWorld - Hello, World!
28 Mar 2019 15:55:03,867 [main] DEBUG HelloWorld - Debug
28 Mar 2019 15:55:03,868 [main] WARN  HelloWorld - Warn
28 Mar 2019 15:55:18,196 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:55:18,207 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:55:18,209 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:55:34,523 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:55:34,529 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 15:55:34,530 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - null
28 Mar 2019 15:56:26,662 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:56:26,671 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:56:26,672 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:56:57,726 [main] INFO  ru.sfedu.computervisionlab.api.ImageApiTest - Trying to load library...
28 Mar 2019 15:56:57,730 [main] INFO  ru.sfedu.computervisionlab.api.ImageApi - Checking OS.....
28 Mar 2019 15:56:57,732 [main] DEBUG ru.sfedu.computervisionlab.utils.Utils - linux
28 Mar 2019 15:56:57,733 [main] ERROR ru.sfedu.computervisionlab.api.ImageApiTest - null
28 Mar 2019 15:56:57,735 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:56:57,736 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config my_prop
28 Mar 2019 15:56:57,736 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - olololo
28 Mar 2019 15:56:57,738 [main] INFO  HelloWorld - Hello, World!
28 Mar 2019 15:56:57,738 [main] DEBUG HelloWorld - Debug
28 Mar 2019 15:56:57,738 [main] WARN  HelloWorld - Warn
28 Mar 2019 15:59:04,627 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 15:59:04,638 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 16:00:47,513 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 16:00:47,523 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
28 Mar 2019 16:00:47,524 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - //home//orus-kade//opencv//NewFolder//lib//libopencv_java345.so
28 Mar 2019 16:01:07,890 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - class ru.sfedu.computervisionlab.utils.ConfigurationUtilTest
28 Mar 2019 16:01:07,899 [main] INFO  ru.sfedu.computervisionlab.utils.ConfigurationUtilTest - Get config path_to_linux_lib
